Zip Code,Number of Returns,Adjusted gross income (AGI)
16415,"  4,371 ","  331,641 "
16417,"  4,115 ","  177,751 "
16420,  292 ,"  9,613 "
16421,"  1,236 ","  57,134 "
16423,"  2,031 ","  75,737 "
16424,"  2,227 ","  74,014 "
16426,"  1,942 ","  91,843 "
16428,"  6,200 ","  275,042 "
16433,"  2,514 ","  105,161 "
16434,"  1,056 ","  32,841 "
16435,  948 ,"  32,082 "
16436,  350 ,"  10,723 "
16438,"  3,576 ","  131,106 "
16440,  471 ,"  17,744 "
16441,"  4,873 ","  228,340 "
16442,"  1,394 ","  59,937 "
16443,  653 ,"  21,949 "
16501,  614 ,"  10,665 "
16502,"  7,135 ","  186,842 "
16503,"  5,850 ","  119,769 "
16504,"  7,978 ","  269,536 "
16505,"  9,455 ","  592,093 "
16506,"  12,208 ","  731,024 "
16507,"  4,073 ","  113,885 "
16508,"  8,358 ","  315,750 "
16509,"  13,751 ","  709,703 "
16510,"  12,020 ","  519,791 "
16511,"  5,408 ","  233,867 "
16512,  264 ,"  7,004 "
16601,"  14,725 ","  556,915 "
16602,"  14,018 ","  532,560 "
16603,  256 ,"  7,694 "
16611,"  1,139 ","  45,087 "
16613,  740 ,"  30,512 "
16617,"  1,324 ","  48,948 "
16621,  318 ,"  13,007 "
16625,"  1,649 ","  52,708 "
16627,  931 ,"  32,627 "
16630,"  2,206 ","  94,419 "
16635,"  5,738 ","  281,851 "
16636,  377 ,"  15,564 "
16637,"  1,188 ","  38,598 "
16639,  456 ,"  16,343 "
16640,  429 ,"  17,339 "
16641,"  1,300 ","  48,253 "
16646,"  1,220 ","  45,115 "
16647,  380 ,"  15,660 "
16648,"  7,913 ","  505,133 "
16650,  828 ,"  30,817 "
16651,"  1,567 ","  59,064 "
16652,"  6,577 ","  279,419 "
16655,  753 ,"  27,055 "
16656,  561 ,"  18,718 "
16657,  644 ,"  24,114 "
16661,  436 ,"  15,461 "
16662,"  2,654 ","  111,508 "
16664,  857 ,"  35,745 "
