PENNSYLVANIA,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
Tax Year 2010                                                                                                                                                                                                                                                                                                                                                                                                            ",,,
[Money amounts are in thousands of dollars],,,
"ZIP
code [1]",Size of adjusted gross income,Number of returns,Adjusted gross income (AGI)
,,,
18817,,118,"5,229"
18817,"$1 under $25,000",44,520
18817,"$25,000 under $50,000",31,1050
18817,"$50,000 under $75,000",43,3659
18817,"$75,000 under $100,000",**,**
18817,"$100,000 under $200,000",**,**
18817,"$200,000 or more",**,**
,,,
18818,,609,"33,071"
18818,"$1 under $25,000",241,3116
18818,"$25,000 under $50,000",143,5260
18818,"$50,000 under $75,000",88,5504
18818,"$75,000 under $100,000",** 60,"** 5,196"
18818,"$100,000 under $200,000",** 77,"** 13,995"
18818,"$200,000 or more",**,**
,,,
18821,,554,"21,500"
18821,"$1 under $25,000",255,2986
18821,"$25,000 under $50,000",149,5352
18821,"$50,000 under $75,000",81,4864
18821,"$75,000 under $100,000",39,3344
18821,"$100,000 under $200,000",30,4954
18821,"$200,000 or more",**,**
,,,
18822,,1700,"68,492"
18822,"$1 under $25,000",781,9679
18822,"$25,000 under $50,000",447,16307
18822,"$50,000 under $75,000",252,15496
18822,"$75,000 under $100,000",117,10070
18822,"$100,000 under $200,000",103,16940
18822,"$200,000 or more",**,**
,,,
18823,,154,"7,474"
18823,"$1 under $25,000",71,814
18823,"$25,000 under $50,000",32,1142
18823,"$50,000 under $75,000",51,5518
18823,"$75,000 under $100,000",**,**
18823,"$100,000 under $200,000",**,**
18823,"$200,000 or more",**,**
,,,
18824,,624,"29,013"
18824,"$1 under $25,000",273,3298
18824,"$25,000 under $50,000",155,5689
18824,"$50,000 under $75,000",94,5752
18824,"$75,000 under $100,000",** 48,"** 4,072"
18824,"$100,000 under $200,000",** 54,"** 10,202"
18824,"$200,000 or more",**,**
,,,
18826,,832,"42,129"
18826,"$1 under $25,000",354,3864
18826,"$25,000 under $50,000",204,7465
18826,"$50,000 under $75,000",133,8184
18826,"$75,000 under $100,000",63,5478
18826,"$100,000 under $200,000",78,17138
18826,"$200,000 or more",**,**
,,,
18828,,164,"6,168"
18828,"$1 under $25,000",85,1012
18828,"$25,000 under $50,000",38,1411
18828,"$50,000 under $75,000",41,3745
18828,"$75,000 under $100,000",**,**
18828,"$100,000 under $200,000",**,**
18828,"$200,000 or more",**,**
,,,
18829,,187,"7,651"
18829,"$1 under $25,000",72,901
18829,"$25,000 under $50,000",56,2091
18829,"$50,000 under $75,000",30,1890
18829,"$75,000 under $100,000",** 29,"** 2,769"
18829,"$100,000 under $200,000",**,**
18829,"$200,000 or more",**,**
,,,
18830,,341,"23,047"
18830,"$1 under $25,000",117,1451
18830,"$25,000 under $50,000",78,2929
18830,"$50,000 under $75,000",49,2995
18830,"$75,000 under $100,000",38,3313
18830,"$100,000 under $200,000",36,4854
18830,"$200,000 or more",** 23,"** 7,505"
,,,
18831,,588,"28,322"
18831,"$1 under $25,000",239,2752
18831,"$25,000 under $50,000",145,5320
18831,"$50,000 under $75,000",95,5692
18831,"$75,000 under $100,000",49,4171
18831,"$100,000 under $200,000",60,10387
18831,"$200,000 or more",**,**
,,,
18832,,826,"36,176"
18832,"$1 under $25,000",350,4204
18832,"$25,000 under $50,000",218,7917
18832,"$50,000 under $75,000",127,7780
18832,"$75,000 under $100,000",73,6236
18832,"$100,000 under $200,000",58,10039
18832,"$200,000 or more",**,**
,,,
18833,,329,"13,269"
18833,"$1 under $25,000",147,1820
18833,"$25,000 under $50,000",91,3365
18833,"$50,000 under $75,000",69,4574
18833,"$75,000 under $100,000",**,**
18833,"$100,000 under $200,000",22,3510
18833,"$200,000 or more",**,**
,,,
18834,,1654,"79,212"
18834,"$1 under $25,000",701,7959
18834,"$25,000 under $50,000",403,14622
18834,"$50,000 under $75,000",285,17454
18834,"$75,000 under $100,000",139,12080
18834,"$100,000 under $200,000",96,12337
18834,"$200,000 or more",** 30,"** 14,760"
,,,
18837,,"1,380","67,860"
18837,"$1 under $25,000",561,6568
18837,"$25,000 under $50,000",328,12063
18837,"$50,000 under $75,000",206,12714
18837,"$75,000 under $100,000",140,12111
18837,"$100,000 under $200,000",118,15261
18837,"$200,000 or more",** 27,"** 9,143"
,,,
18840,,"5,164","257,838"
18840,"$1 under $25,000",2179,26363
18840,"$25,000 under $50,000",1283,46308
18840,"$50,000 under $75,000",712,43964
18840,"$75,000 under $100,000",391,33440
18840,"$100,000 under $200,000",474,61431
18840,"$200,000 or more",125,46332
,,,
18842,,149,"6,640"
18842,"$1 under $25,000",66,862
18842,"$25,000 under $50,000",38,1334
18842,"$50,000 under $75,000",45,4444
18842,"$75,000 under $100,000",**,**
18842,"$100,000 under $200,000",**,**
18842,"$200,000 or more",**,**
,,,
18844,,848,"52,624"
18844,"$1 under $25,000",331,3838
18844,"$25,000 under $50,000",185,6737
18844,"$50,000 under $75,000",** 123,"** 7,633"
18844,"$75,000 under $100,000",** 91,"** 7,921"
18844,"$100,000 under $200,000",** 85,"** 11,069"
18844,"$200,000 or more",** 33,"** 15,426"
,,,
18845,,165,"6,308"
18845,"$1 under $25,000",71,814
18845,"$25,000 under $50,000",40,1463
18845,"$50,000 under $75,000",54,4031
18845,"$75,000 under $100,000",**,**
18845,"$100,000 under $200,000",**,**
18845,"$200,000 or more",0,0
,,,
18847,,2441,"108,037"
18847,"$1 under $25,000",1130,13896
18847,"$25,000 under $50,000",633,22671
18847,"$50,000 under $75,000",328,20217
18847,"$75,000 under $100,000",** 153,"** 12,933"
18847,"$100,000 under $200,000",** 149,"** 18,783"
18847,"$200,000 or more",** 48,"** 19,537"
,,,
18848,,4320,"211,653"
18848,"$1 under $25,000",1814,20845
18848,"$25,000 under $50,000",1086,39552
18848,"$50,000 under $75,000",646,39723
18848,"$75,000 under $100,000",377,32488
18848,"$100,000 under $200,000",322,42262
18848,"$200,000 or more",** 75,"** 36,783"
,,,
18850,,"1,154","58,608"
18850,"$1 under $25,000",439,4797
18850,"$25,000 under $50,000",278,10171
18850,"$50,000 under $75,000",192,11915
18850,"$75,000 under $100,000",126,10828
18850,"$100,000 under $200,000",119,20897
18850,"$200,000 or more",**,**
,,,
18851,,333,"20,105"
18851,"$1 under $25,000",119,1462
18851,"$25,000 under $50,000",88,3180
18851,"$50,000 under $75,000",54,3297
18851,"$75,000 under $100,000",26,2211
18851,"$100,000 under $200,000",46,9955
18851,"$200,000 or more",**,**
,,,
18853,,"2,007","103,952"
18853,"$1 under $25,000",734,8902
18853,"$25,000 under $50,000",510,18471
18853,"$50,000 under $75,000",342,21053
18853,"$75,000 under $100,000",208,18031
18853,"$100,000 under $200,000",162,20452
18853,"$200,000 or more",** 51,"** 17,043"
,,,
18854,,771,"34,793"
18854,"$1 under $25,000",319,3866
18854,"$25,000 under $50,000",218,7875
18854,"$50,000 under $75,000",112,6902
18854,"$75,000 under $100,000",57,4890
18854,"$100,000 under $200,000",65,11260
18854,"$200,000 or more",**,**
,,,
18901,,"13,951","1,237,813"
18901,"$1 under $25,000",4430,45178
18901,"$25,000 under $50,000",2494,91882
18901,"$50,000 under $75,000",1758,108166
18901,"$75,000 under $100,000",1353,117516
18901,"$100,000 under $200,000",2653,368856
18901,"$200,000 or more",1263,506215
,,,
18902,,8923,"1,124,188"
18902,"$1 under $25,000",2594,22203
18902,"$25,000 under $50,000",1073,39141
18902,"$50,000 under $75,000",821,50869
18902,"$75,000 under $100,000",778,67962
18902,"$100,000 under $200,000",2165,313437
18902,"$200,000 or more","** 1,492","** 630,576"
,,,
18913,,226,"36,064"
18913,"$1 under $25,000",66,621
18913,"$25,000 under $50,000",34,1185
18913,"$50,000 under $75,000",39,2831
18913,"$75,000 under $100,000",**,**
18913,"$100,000 under $200,000",41,5752
18913,"$200,000 or more",46,25675
,,,
18914,,"9,653","800,317"
18914,"$1 under $25,000",2852,27805
18914,"$25,000 under $50,000",1499,55109
18914,"$50,000 under $75,000",1240,77073
18914,"$75,000 under $100,000",1104,96571
18914,"$100,000 under $200,000",2318,320955
18914,"$200,000 or more",640,222804
,,,
18915,,675,"41,679"
18915,"$1 under $25,000",226,2689
18915,"$25,000 under $50,000",139,5044
18915,"$50,000 under $75,000",108,6595
18915,"$75,000 under $100,000",** 72,"** 6,213"
18915,"$100,000 under $200,000",107,14911
18915,"$200,000 or more",23,6227
,,,
18917,,"1,113","58,825"
18917,"$1 under $25,000",396,4883
18917,"$25,000 under $50,000",283,10174
18917,"$50,000 under $75,000",155,9457
18917,"$75,000 under $100,000",125,10750
18917,"$100,000 under $200,000",132,17543
18917,"$200,000 or more",22,6018
,,,
18920,,348,"75,964"
18920,"$1 under $25,000",112,1227
18920,"$25,000 under $50,000",63,2366
18920,"$50,000 under $75,000",33,2045
18920,"$75,000 under $100,000",24,2097
18920,"$100,000 under $200,000",72,9596
18920,"$200,000 or more",44,58633
,,,
18923,,509,"48,148"
18923,"$1 under $25,000",130,1425
18923,"$25,000 under $50,000",73,2792
18923,"$50,000 under $75,000",63,3956
18923,"$75,000 under $100,000",60,5305
18923,"$100,000 under $200,000",137,19771
18923,"$200,000 or more",46,14899
,,,
18925,,2569,"305,830"
18925,"$1 under $25,000",626,5859
18925,"$25,000 under $50,000",308,11593
18925,"$50,000 under $75,000",259,15915
18925,"$75,000 under $100,000",250,21954
18925,"$100,000 under $200,000",705,100647
18925,"$200,000 or more",421,149862
,,,
18929,,4291,"421,972"
18929,"$1 under $25,000",1324,11283
18929,"$25,000 under $50,000",539,19777
18929,"$50,000 under $75,000",396,24747
18929,"$75,000 under $100,000",438,38306
18929,"$100,000 under $200,000",1086,153137
18929,"$200,000 or more",508,174722
,,,
18930,,"1,255","89,227"
18930,"$1 under $25,000",427,4616
18930,"$25,000 under $50,000",250,9161
18930,"$50,000 under $75,000",174,10720
18930,"$75,000 under $100,000",131,11409
18930,"$100,000 under $200,000",222,29687
18930,"$200,000 or more",51,23634
,,,
18932,,283,"20,019"
18932,"$1 under $25,000",96,1069
18932,"$25,000 under $50,000",69,2543
18932,"$50,000 under $75,000",39,2433
18932,"$75,000 under $100,000",23,1946
18932,"$100,000 under $200,000",56,12028
18932,"$200,000 or more",**,**
,,,
18936,,216,"13,987"
18936,"$1 under $25,000",73,842
18936,"$25,000 under $50,000",47,1713
18936,"$50,000 under $75,000",40,2574
18936,"$75,000 under $100,000",27,2316
18936,"$100,000 under $200,000",29,6542
18936,"$200,000 or more",**,**
,,,
18938,,6868,"1,254,491"
18938,"$1 under $25,000",2013,20087
18938,"$25,000 under $50,000",1010,36927
18938,"$50,000 under $75,000",766,47567
18938,"$75,000 under $100,000",570,49666
18938,"$100,000 under $200,000",1239,178498
18938,"$200,000 or more","** 1,270","** 921,746"
,,,
18940,,14922,"2,085,865"
18940,"$1 under $25,000",4069,37205
18940,"$25,000 under $50,000",2008,75203
18940,"$50,000 under $75,000",1766,109837
18940,"$75,000 under $100,000",1529,133494
18940,"$100,000 under $200,000",3303,465961
18940,"$200,000 or more","** 2,247","** 1,264,165"
,,,
18942,,"1,495","104,165"
18942,"$1 under $25,000",524,5661
18942,"$25,000 under $50,000",328,12107
18942,"$50,000 under $75,000",206,12629
18942,"$75,000 under $100,000",159,13781
18942,"$100,000 under $200,000",204,27408
18942,"$200,000 or more",74,32579
,,,
18944,,"11,451","783,411"
18944,"$1 under $25,000",3585,38409
18944,"$25,000 under $50,000",2206,81281
18944,"$50,000 under $75,000",1711,106762
18944,"$75,000 under $100,000",1455,126077
18944,"$100,000 under $200,000",2093,280175
18944,"$200,000 or more",401,150707
,,,
18947,,"2,811","244,197"
18947,"$1 under $25,000",921,8615
18947,"$25,000 under $50,000",494,18161
18947,"$50,000 under $75,000",348,21643
18947,"$75,000 under $100,000",291,25263
18947,"$100,000 under $200,000",563,78473
18947,"$200,000 or more",194,92042
,,,
18951,,"16,588","958,416"
18951,"$1 under $25,000",5609,62645
18951,"$25,000 under $50,000",3789,139082
18951,"$50,000 under $75,000",2721,168874
18951,"$75,000 under $100,000",1909,165527
18951,"$100,000 under $200,000",2233,291636
18951,"$200,000 or more",327,130652
,,,
18954,,"4,900","501,173"
18954,"$1 under $25,000",1519,13692
18954,"$25,000 under $50,000",697,25839
18954,"$50,000 under $75,000",476,29662
18954,"$75,000 under $100,000",489,42599
18954,"$100,000 under $200,000",1159,163855
18954,"$200,000 or more",560,225526
,,,
18955,,789,"39,293"
18955,"$1 under $25,000",285,3336
18955,"$25,000 under $50,000",223,8238
18955,"$50,000 under $75,000",133,8167
18955,"$75,000 under $100,000",76,6677
18955,"$100,000 under $200,000",72,12875
18955,"$200,000 or more",**,**
,,,
18960,,"6,505","376,091"
18960,"$1 under $25,000",2163,23649
18960,"$25,000 under $50,000",1487,54742
18960,"$50,000 under $75,000",1070,66432
18960,"$75,000 under $100,000",775,67018
18960,"$100,000 under $200,000",867,114175
18960,"$200,000 or more",143,50075
,,,
18964,,7035,"409,240"
18964,"$1 under $25,000",2434,27807
18964,"$25,000 under $50,000",1607,58815
18964,"$50,000 under $75,000",1013,62802
18964,"$75,000 under $100,000",777,67496
18964,"$100,000 under $200,000",1031,137024
18964,"$200,000 or more",** 173,"** 55,296"
,,,
18966,,"19,980","1,550,494"
18966,"$1 under $25,000",6122,62687
18966,"$25,000 under $50,000",3608,132130
18966,"$50,000 under $75,000",2759,170756
18966,"$75,000 under $100,000",2318,201501
18966,"$100,000 under $200,000",4030,552582
18966,"$200,000 or more",1143,430838
,,,
18969,,"7,567","454,754"
18969,"$1 under $25,000",2631,29680
18969,"$25,000 under $50,000",1647,60281
18969,"$50,000 under $75,000",1144,70713
18969,"$75,000 under $100,000",844,73181
18969,"$100,000 under $200,000",1071,141702
18969,"$200,000 or more",230,79197
,,,
18972,,"1,599","93,980"
18972,"$1 under $25,000",564,6303
18972,"$25,000 under $50,000",352,12821
18972,"$50,000 under $75,000",249,15297
18972,"$75,000 under $100,000",153,13032
18972,"$100,000 under $200,000",228,30889
18972,"$200,000 or more",53,15638
,,,
18974,,"21,607","1,343,516"
18974,"$1 under $25,000",7334,86215
18974,"$25,000 under $50,000",4811,175224
18974,"$50,000 under $75,000",3247,200997
18974,"$75,000 under $100,000",2560,222155
18974,"$100,000 under $200,000",3071,406194
18974,"$200,000 or more",584,252731
,,,
18976,,"10,044","738,410"
18976,"$1 under $25,000",3176,32406
18976,"$25,000 under $50,000",1764,64518
18976,"$50,000 under $75,000",1281,79590
18976,"$75,000 under $100,000",1082,94688
18976,"$100,000 under $200,000",2252,309059
18976,"$200,000 or more",489,158149
,,,
18977,,"2,145","361,119"
18977,"$1 under $25,000",475,4445
18977,"$25,000 under $50,000",258,9759
18977,"$50,000 under $75,000",186,11656
18977,"$75,000 under $100,000",197,17262
18977,"$100,000 under $200,000",558,80632
18977,"$200,000 or more",471,237365
,,,
19001,,"8,647","513,966"
19001,"$1 under $25,000",2791,31197
19001,"$25,000 under $50,000",1902,70368
19001,"$50,000 under $75,000",1422,88096
19001,"$75,000 under $100,000",1059,91993
19001,"$100,000 under $200,000",1297,169368
19001,"$200,000 or more",176,62944
,,,
19002,,"15,964","1,916,339"
19002,"$1 under $25,000",4824,46872
19002,"$25,000 under $50,000",2665,98500
19002,"$50,000 under $75,000",1901,117580
19002,"$75,000 under $100,000",1465,127573
19002,"$100,000 under $200,000",2911,409796
19002,"$200,000 or more",2198,1116018
,,,
19003,,"6,504","549,422"
19003,"$1 under $25,000",1917,21082
19003,"$25,000 under $50,000",1439,53668
19003,"$50,000 under $75,000",995,61323
19003,"$75,000 under $100,000",659,56810
19003,"$100,000 under $200,000",1000,137151
19003,"$200,000 or more",494,219388
,,,
19004,,"5,044","690,398"
19004,"$1 under $25,000",1335,12696
19004,"$25,000 under $50,000",829,30733
19004,"$50,000 under $75,000",588,36615
19004,"$75,000 under $100,000",455,39835
19004,"$100,000 under $200,000",935,132686
19004,"$200,000 or more",902,437833
,,,
19006,,"10,898","1,226,055"
19006,"$1 under $25,000",3306,33038
19006,"$25,000 under $50,000",1889,69013
19006,"$50,000 under $75,000",1380,85790
19006,"$75,000 under $100,000",1038,90586
19006,"$100,000 under $200,000",2143,299234
19006,"$200,000 or more",1142,648394
,,,
19007,,"10,863","425,062"
19007,"$1 under $25,000",4686,59482
19007,"$25,000 under $50,000",3204,115238
19007,"$50,000 under $75,000",1548,94260
19007,"$75,000 under $100,000",800,68788
19007,"$100,000 under $200,000",579,73996
19007,"$200,000 or more",46,13298
,,,
19008,,"10,372","763,009"
19008,"$1 under $25,000",3471,36933
19008,"$25,000 under $50,000",2038,74712
19008,"$50,000 under $75,000",1428,87986
19008,"$75,000 under $100,000",1085,94269
19008,"$100,000 under $200,000",1801,243724
19008,"$200,000 or more",549,225385
,,,
19010,,"8,944","1,980,052"
19010,"$1 under $25,000",2607,24335
19010,"$25,000 under $50,000",1286,47437
19010,"$50,000 under $75,000",962,59572
19010,"$75,000 under $100,000",717,62457
19010,"$100,000 under $200,000",1456,206314
19010,"$200,000 or more",1916,1579937
,,,
19012,,"3,314","231,290"
19012,"$1 under $25,000",1027,10910
19012,"$25,000 under $50,000",711,26440
19012,"$50,000 under $75,000",490,30551
19012,"$75,000 under $100,000",377,32628
19012,"$100,000 under $200,000",597,80724
19012,"$200,000 or more",112,50037
,,,
19013,,"13,580","376,034"
19013,"$1 under $25,000",7775,99502
19013,"$25,000 under $50,000",4033,140468
19013,"$50,000 under $75,000",1108,66861
19013,"$75,000 under $100,000",401,34467
19013,"$100,000 under $200,000",263,34736
19013,"$200,000 or more",**,**
,,,
19014,,"10,504","635,622"
19014,"$1 under $25,000",3266,37820
19014,"$25,000 under $50,000",2241,83256
19014,"$50,000 under $75,000",1679,103548
19014,"$75,000 under $100,000",1274,110604
19014,"$100,000 under $200,000",1856,243042
19014,"$200,000 or more",188,57352
,,,
19015,,"8,250","376,712"
19015,"$1 under $25,000",3008,36820
19015,"$25,000 under $50,000",2316,84379
19015,"$50,000 under $75,000",1412,86977
19015,"$75,000 under $100,000",769,66798
19015,"$100,000 under $200,000",704,89509
19015,"$200,000 or more",** 41,"** 12,229"
,,,
19018,,"11,942","548,352"
19018,"$1 under $25,000",4227,52125
19018,"$25,000 under $50,000",3439,126371
19018,"$50,000 under $75,000",2051,126269
19018,"$75,000 under $100,000",1143,98595
19018,"$100,000 under $200,000",1025,129033
19018,"$200,000 or more",57,15959
,,,
19020,,"27,847","1,460,904"
19020,"$1 under $25,000",9873,121154
19020,"$25,000 under $50,000",7013,256310
19020,"$50,000 under $75,000",4428,271637
19020,"$75,000 under $100,000",2823,244065
19020,"$100,000 under $200,000",3322,436140
19020,"$200,000 or more",388,131598
,,,
19021,,"5,190","221,103"
19021,"$1 under $25,000",2015,24714
19021,"$25,000 under $50,000",1488,54126
19021,"$50,000 under $75,000",876,53742
19021,"$75,000 under $100,000",448,38272
19021,"$100,000 under $200,000",363,50249
19021,"$200,000 or more",**,**
,,,
19022,,"1,580","56,894"
19022,"$1 under $25,000",715,9133
19022,"$25,000 under $50,000",492,17542
19022,"$50,000 under $75,000",233,14173
19022,"$75,000 under $100,000",85,7284
19022,"$100,000 under $200,000",55,8762
19022,"$200,000 or more",**,**
,,,
19023,,"9,669","304,880"
19023,"$1 under $25,000",4873,63873
19023,"$25,000 under $50,000",3090,110130
19023,"$50,000 under $75,000",1052,63599
19023,"$75,000 under $100,000",415,35474
19023,"$100,000 under $200,000",239,31804
19023,"$200,000 or more",**,**
,,,
19025,,"2,836","319,482"
19025,"$1 under $25,000",918,7422
19025,"$25,000 under $50,000",377,13923
19025,"$50,000 under $75,000",256,15887
